data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50;
set K := Material1 Material2 Material3 Material4 Material5;
set L := 1 2 3 4 5;
param Mares := 228;
param v :=
1 25
2 20
3 20
4 15
5 15;
param d :=
1 2000
2 5000
3 6000
4 5000
5 5000
6 3000
7 4000
8 6000
9 5000
10 6000
11 3000
12 1000
13 4000
14 2000
15 1000
16 1000
17 6000
18 5000
19 4000
20 2000
21 6000
22 5000
23 3000
24 1000
25 1000
26 5000
27 6000
28 4000
29 2000
30 1000
31 1000
32 2000
33 4000
34 4000
35 6000
36 6000
37 1000
38 2000
39 3000
40 5000
41 5000
42 3000
43 3000
44 2000
45 4000
46 3000
47 6000
48 1000
49 1000
50 3000;
param a :=
1 55
2 93
3 113
4 47
5 3
6 23
7 23
8 10
9 108
10 68
11 2
12 28
13 86
14 18
15 111
16 73
17 101
18 104
19 93
20 60
21 76
22 20
23 104
24 10
25 72
26 71
27 97
28 52
29 23
30 83
31 108
32 78
33 69
34 106
35 18
36 71
37 14
38 49
39 89
40 16
41 2
42 90
43 43
44 95
45 107
46 47
47 54
48 94
49 36
50 40;
param e :=
Material1 80.00
Material2 70.00
Material3 80.00
Material4 60.00
Material5 80.00;
param ck :=
Material1 3.00
Material2 3.00
Material3 4.00
Material4 1.00
Material5 3.00;
param spin :=
Material1 -1
Material2 -1
Material3 -1
Material4 -1
Material5 -1;
param q : Material1 Material2 Material3 Material4 Material5 :=
1 80.00 70.00 76.00 61.00 80.00
2 80.00 67.00 76.00 61.00 80.00
3 77.00 73.00 84.00 59.00 77.00
4 77.00 67.00 84.00 59.00 83.00
5 83.00 73.00 84.00 61.00 77.00
6 77.00 67.00 76.00 61.00 77.00
7 77.00 73.00 80.00 59.00 83.00
8 77.00 67.00 76.00 61.00 77.00
9 77.00 70.00 76.00 59.00 80.00
10 83.00 67.00 84.00 60.00 80.00
11 80.00 70.00 84.00 59.00 77.00
12 80.00 73.00 76.00 61.00 80.00
13 77.00 73.00 80.00 59.00 77.00
14 77.00 67.00 84.00 60.00 83.00
15 77.00 67.00 84.00 59.00 80.00
16 83.00 73.00 76.00 60.00 83.00
17 80.00 70.00 76.00 59.00 77.00
18 83.00 70.00 80.00 59.00 77.00
19 80.00 67.00 84.00 61.00 83.00
20 80.00 73.00 80.00 60.00 83.00
21 77.00 70.00 76.00 61.00 83.00
22 83.00 73.00 80.00 60.00 83.00
23 77.00 67.00 76.00 60.00 83.00
24 80.00 67.00 84.00 61.00 83.00
25 80.00 70.00 76.00 61.00 80.00
26 80.00 70.00 80.00 61.00 77.00
27 80.00 73.00 80.00 61.00 80.00
28 77.00 67.00 76.00 61.00 80.00
29 77.00 67.00 84.00 59.00 80.00
30 83.00 73.00 76.00 59.00 83.00
31 80.00 70.00 80.00 61.00 77.00
32 77.00 67.00 84.00 61.00 80.00
33 80.00 70.00 80.00 60.00 80.00
34 77.00 67.00 84.00 60.00 83.00
35 80.00 73.00 80.00 59.00 77.00
36 77.00 70.00 84.00 60.00 77.00
37 77.00 70.00 84.00 61.00 80.00
38 83.00 67.00 84.00 60.00 77.00
39 80.00 70.00 84.00 60.00 77.00
40 77.00 70.00 76.00 60.00 77.00
41 77.00 70.00 84.00 61.00 80.00
42 83.00 70.00 76.00 60.00 83.00
43 83.00 70.00 80.00 59.00 83.00
44 83.00 70.00 80.00 61.00 77.00
45 80.00 73.00 76.00 61.00 83.00
46 80.00 67.00 84.00 61.00 77.00
47 80.00 67.00 84.00 59.00 83.00
48 83.00 67.00 84.00 61.00 77.00
49 77.00 73.00 80.00 61.00 83.00
50 83.00 67.00 76.00 61.00 77.00;
end;
