data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set K := Material1 Material2 Material3 Material4 Material5;
set L := 1 2 3 4 5;
param Mares := 113;
param v :=
1 10
2 25
3 20
4 10
5 30;
param d :=
1 4000
2 3000
3 3000
4 1000
5 6000
6 3000
7 1000
8 6000
9 5000
10 2000
11 1000
12 4000
13 2000
14 2000
15 3000
16 3000
17 4000
18 3000
19 1000
20 6000
21 3000
22 1000
23 4000
24 5000
25 6000
26 4000
27 3000
28 4000
29 3000
30 4000;
param a :=
1 52
2 53
3 55
4 36
5 28
6 5
7 52
8 24
9 6
10 5
11 40
12 35
13 45
14 38
15 47
16 23
17 48
18 38
19 45
20 51
21 50
22 6
23 36
24 53
25 42
26 19
27 23
28 50
29 53
30 56;
param e :=
Material1 60.00
Material2 70.00
Material3 60.00
Material4 60.00
Material5 60.00;
param ck :=
Material1 4.00
Material2 1.00
Material3 1.00
Material4 3.00
Material5 4.00;
param spin :=
Material1 -1
Material2 -1
Material3 -1
Material4 -1
Material5 -1;
param q : Material1 Material2 Material3 Material4 Material5 :=
1 60.00 69.00 60.00 60.00 56.00
2 60.00 71.00 61.00 60.00 64.00
3 64.00 70.00 61.00 57.00 56.00
4 60.00 69.00 59.00 60.00 60.00
5 56.00 71.00 61.00 63.00 60.00
6 60.00 71.00 59.00 57.00 56.00
7 56.00 71.00 60.00 63.00 56.00
8 64.00 69.00 60.00 63.00 56.00
9 64.00 71.00 60.00 63.00 64.00
10 64.00 69.00 60.00 57.00 56.00
11 64.00 71.00 60.00 57.00 56.00
12 64.00 71.00 59.00 57.00 64.00
13 64.00 71.00 59.00 63.00 56.00
14 64.00 70.00 59.00 63.00 64.00
15 64.00 70.00 61.00 60.00 64.00
16 60.00 70.00 60.00 57.00 56.00
17 60.00 70.00 61.00 60.00 60.00
18 64.00 69.00 60.00 63.00 60.00
19 56.00 70.00 60.00 60.00 56.00
20 64.00 70.00 59.00 60.00 60.00
21 60.00 70.00 61.00 57.00 64.00
22 56.00 71.00 60.00 63.00 60.00
23 56.00 70.00 60.00 57.00 56.00
24 60.00 69.00 61.00 60.00 64.00
25 56.00 71.00 60.00 60.00 64.00
26 56.00 70.00 59.00 57.00 56.00
27 60.00 70.00 60.00 60.00 56.00
28 56.00 69.00 59.00 60.00 56.00
29 64.00 70.00 61.00 57.00 56.00
30 60.00 70.00 60.00 60.00 56.00;
end;
