data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set K := Material1 Material2 Material3 Material4 Material5 Material6;
set L := 1 2 3 4;
param Mares := 185;
param v :=
1 30
2 10
3 10
4 25;
param d :=
1 4000
2 3000
3 3000
4 1000
5 6000
6 3000
7 1000
8 6000
9 5000
10 2000
11 1000
12 4000
13 2000
14 2000
15 3000
16 3000
17 4000
18 3000
19 1000
20 6000;
param a :=
1 35
2 11
3 89
4 18
5 68
6 40
7 59
8 68
9 79
10 80
11 87
12 27
13 3
14 53
15 87
16 68
17 90
18 36
19 18
20 27;
param e :=
Material1 80.00
Material2 80.00
Material3 80.00
Material4 60.00
Material5 60.00
Material6 70.00;
param ck :=
Material1 2.00
Material2 4.00
Material3 2.00
Material4 4.00
Material5 4.00
Material6 1.00;
param spin :=
Material1 -1
Material2 -1
Material3 -1
Material4 -1
Material5 -1
Material6 -1;
param q : Material1 Material2 Material3 Material4 Material5 Material6 :=
1 80.00 84.00 80.00 56.00 64.00 71.00
2 80.00 80.00 80.00 60.00 56.00 70.00
3 82.00 84.00 78.00 64.00 64.00 69.00
4 80.00 80.00 78.00 60.00 60.00 70.00
5 82.00 76.00 78.00 64.00 64.00 70.00
6 78.00 80.00 78.00 64.00 60.00 69.00
7 82.00 76.00 82.00 64.00 64.00 70.00
8 82.00 84.00 82.00 56.00 64.00 70.00
9 78.00 76.00 78.00 56.00 56.00 71.00
10 82.00 76.00 82.00 60.00 56.00 71.00
11 82.00 84.00 82.00 64.00 56.00 71.00
12 78.00 80.00 80.00 60.00 56.00 71.00
13 82.00 84.00 80.00 60.00 60.00 69.00
14 78.00 80.00 80.00 56.00 60.00 70.00
15 80.00 80.00 78.00 64.00 60.00 70.00
16 80.00 76.00 82.00 60.00 56.00 71.00
17 78.00 84.00 78.00 64.00 56.00 70.00
18 82.00 80.00 78.00 60.00 56.00 70.00
19 78.00 84.00 80.00 64.00 60.00 70.00
20 80.00 76.00 80.00 56.00 56.00 70.00;
end;
