data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set K := Material1 Material2 Material3 Material4 Material5 Material6;
set L := 1 2 3 4;
param Mares := 311;
param v :=
1 10
2 25
3 20
4 10;
param d :=
1 4000
2 3000
3 3000
4 1000
5 6000
6 3000
7 1000
8 6000
9 5000
10 2000
11 1000
12 4000
13 2000
14 2000
15 3000
16 3000
17 4000
18 3000
19 1000
20 6000
21 3000
22 1000
23 4000
24 5000
25 6000
26 4000
27 3000
28 4000
29 3000
30 4000;
param a :=
1 102
2 111
3 39
4 8
5 102
6 153
7 122
8 107
9 112
10 10
11 76
12 112
13 25
14 81
15 86
16 16
17 102
18 58
19 22
20 20
21 110
22 69
23 6
24 128
25 139
26 150
27 99
28 46
29 41
30 78;
param e :=
Material1 70.00
Material2 80.00
Material3 60.00
Material4 70.00
Material5 70.00
Material6 80.00;
param ck :=
Material1 1.00
Material2 3.00
Material3 4.00
Material4 1.00
Material5 2.00
Material6 2.00;
param spin :=
Material1 -1
Material2 -1
Material3 -1
Material4 -1
Material5 -1
Material6 -1;
param q : Material1 Material2 Material3 Material4 Material5 Material6 :=
1 70.00 80.00 56.00 70.00 70.00 80.00
2 71.00 83.00 64.00 71.00 72.00 78.00
3 70.00 80.00 56.00 69.00 72.00 80.00
4 71.00 83.00 56.00 69.00 70.00 80.00
5 70.00 83.00 60.00 69.00 68.00 78.00
6 69.00 77.00 60.00 70.00 72.00 82.00
7 70.00 77.00 64.00 71.00 70.00 82.00
8 71.00 77.00 56.00 69.00 70.00 78.00
9 71.00 77.00 60.00 71.00 72.00 78.00
10 71.00 83.00 64.00 69.00 68.00 82.00
11 71.00 83.00 56.00 71.00 70.00 80.00
12 70.00 80.00 64.00 71.00 72.00 78.00
13 71.00 77.00 64.00 70.00 70.00 80.00
14 71.00 77.00 60.00 70.00 70.00 80.00
15 71.00 80.00 64.00 69.00 72.00 80.00
16 69.00 80.00 56.00 71.00 70.00 78.00
17 70.00 80.00 56.00 71.00 70.00 78.00
18 71.00 77.00 64.00 71.00 68.00 80.00
19 69.00 80.00 60.00 69.00 68.00 80.00
20 69.00 77.00 60.00 71.00 70.00 82.00
21 70.00 83.00 60.00 69.00 72.00 80.00
22 70.00 80.00 56.00 69.00 70.00 78.00
23 69.00 77.00 64.00 70.00 72.00 80.00
24 69.00 80.00 64.00 71.00 72.00 80.00
25 70.00 80.00 60.00 69.00 70.00 78.00
26 69.00 77.00 64.00 70.00 70.00 78.00
27 69.00 83.00 60.00 69.00 70.00 80.00
28 71.00 80.00 64.00 70.00 70.00 82.00
29 69.00 83.00 64.00 70.00 68.00 82.00
30 71.00 80.00 64.00 71.00 72.00 80.00;
end;
