data;
set N := 1 2 3 4 5 6 7 8 9 10;
set K := Material1 Material2 Material3 Material4 Material5;
set L := 1 2 3 4;
param Mares := 46;
param v :=
1 20
2 20
3 30
4 30;
param d :=
1 4000
2 3000
3 3000
4 1000
5 6000
6 3000
7 1000
8 6000
9 5000
10 2000;
param a :=
1 17
2 14
3 18
4 13
5 6
6 1
7 15
8 7
9 15
10 20;
param e :=
Material1 80.00
Material2 60.00
Material3 60.00
Material4 80.00
Material5 60.00;
param ck :=
Material1 1.00
Material2 3.00
Material3 2.00
Material4 1.00
Material5 1.00;
param spin :=
Material1 -1
Material2 -1
Material3 -1
Material4 -1
Material5 -1;
param q : Material1 Material2 Material3 Material4 Material5 :=
1 81.00 63.00 58.00 79.00 59.00
2 79.00 60.00 58.00 79.00 60.00
3 80.00 57.00 58.00 80.00 60.00
4 80.00 60.00 62.00 81.00 60.00
5 79.00 57.00 62.00 81.00 59.00
6 80.00 60.00 60.00 80.00 59.00
7 81.00 60.00 62.00 79.00 60.00
8 79.00 57.00 60.00 79.00 61.00
9 80.00 63.00 60.00 79.00 59.00
10 80.00 57.00 62.00 81.00 59.00;
end;
